group_id,,AbsTime,RelTime,Cycle,m15.881 (B_m15.881) (Corr),m16.214 (B_m16.214) (Corr),m17.016 (B_m17.016) (Corr),m17.055 (B_m17.055) (Corr),m17.554 (B_m17.554) (Corr),m18.062 (B_m18.062) (Corr),m18.632 (B_m18.632) (Corr),m18.723 (B_m18.723) (Corr),m18.781 (B_m18.781) (Corr),m18.970 (B_m18.970) (Corr),m19.474 (B_m19.474) (Corr),m19.540 (B_m19.540) (Corr),m19.943 (B_m19.943) (Corr),m20.050 (B_m20.050) (Corr),m20.820 (B_m20.820) (Corr),m21.049 (B_m21.049) (Corr),m22.916 (B_m22.916) (Corr),m25.355 (B_m25.355) (Corr),m28.034 (B_m28.034) (Corr),m28.765 (B_m28.765) (Corr),m28.793 (B_m28.793) (Corr),m28.859 (B_m28.859) (Corr),m29.028 (B_m29.028) (Corr),m29.746 (B_m29.746) (Corr),m30.017 (B_m30.017) (Corr),m31.721 (B_m31.721) (Corr),m31.772 (B_m31.772) (Corr),m31.998 (B_m31.998) (Corr),m33.037 (B_m33.037) (Corr),m33.886 (B_m33.886) (Corr),m33.999 (B_m33.999) (Corr),m35.387 (B_m35.387) (Corr),m36.737 (B_m36.737) (Corr),m36.797 (B_m36.797) (Corr),m37.058 (B_m37.058) (Corr),m37.290 (B_m37.290) (Corr),m37.626 (B_m37.626) (Corr),m37.777 (B_m37.777) (Corr),m38.042 (B_m38.042) (Corr),m38.476 (B_m38.476) (Corr),m39.038 (B_m39.038) (Corr),m41.053 (B_m41.053) (Corr),m43.045 (B_m43.045) (Corr),m44.025 (B_m44.025) (Corr),m45.024 (B_m45.024) (Corr),m46.016 (B_m46.016) (Corr),m47.040 (B_m47.040) (Corr),m50.011 (B_m50.011) (Corr),m51.019 (B_m51.019) (Corr),m53.035 (B_m53.035) (Corr),m55.029 (B_m55.029) (Corr),m57.076 (B_m57.076) (Corr),m59.074 (B_m59.074) (Corr),m61.061 (B_m61.061) (Corr),m63.040 (B_m63.040) (Corr),m69.062 (B_m69.062) (Corr),m72.947 (B_m72.947) (Corr),m73.077 (B_m73.077) (Corr),m75.075 (B_m75.075) (Corr),m76.948 (B_m76.948) (Corr),m78.068 (B_m78.068) (Corr),m81.035 (B_m81.035) (Corr),m83.112 (B_m83.112) (Corr),m88.113 (B_m88.113) (Corr),m89.096 (B_m89.096) (Corr),m91.049 (B_m91.049) (Corr),m93.069 (B_m93.069) (Corr),m94.059 (B_m94.059) (Corr),m95.054 (B_m95.054) (Corr),m96.054 (B_m96.054) (Corr),m203.008 (B_m203.008) (Corr),m203.980 (B_m203.980) (Corr),m205.084 (B_m205.084) (Corr),m205.968 (B_m205.968) (Corr),m218.001 (B_m218.001) (Corr),m328.554 (B_m328.554) (Corr),m329.556 (B_m329.556) (Corr),m329.885 (B_m329.885) (Corr),m330.895 (B_m330.895) (Corr),m332.034 (B_m332.034) (Corr),m332.690 (B_m332.690) (Corr),m355.145 (B_m355.145) (Corr),m356.248 (B_m356.248) (Corr),m357.165 (B_m357.165) (Corr),m358.143 (B_m358.143) (Corr),m358.713 (B_m358.713) (Corr),m359.096 (B_m359.096) (Corr),m371.191 (B_m371.191) (Corr),m372.285 (B_m372.285) (Corr),m373.171 (B_m373.171) (Corr),m374.177 (B_m374.177) (Corr),m375.156 (B_m375.156) (Corr),m429.204 (B_m429.204) (Corr),m431.181 (B_m431.181) (Corr),m445.239 (B_m445.239) (Corr),m445.875 (B_m445.875) (Corr),m447.210 (B_m447.210) (Corr),E/N_Act [Td],p-Drift_Act [mbar]
                      Jar_BLK_1,84,44841.7307,84.0001,85,0,83.38699,1494.463,3268.071,0,48994.99,333.5493,83.38699,500.3233,7175.231,14043.45,43881.45,6394.959,38758.28,250.161,20342730,205.8079,50.10022,264.743,0,0,16.07003,19233.11,14.73739,15546.04,37.32693,59.39685,341956.4,2713.507,0,790.2526,28.98005,53.57836,26.69892,1063812,25.84796,115.3906,143.4415,1148.873,40.68521,2357.181,492.718,846.3793,120.6045,610.6309,158.9099,348.4271,15.41395,19.91563,37.05428,273.1409,234.0016,1226.896,644.2352,28.65503,77.94067,97.10445,196.9638,385.9417,824.0049,179.2656,33.6676,34.56359,15.39384,15.07275,214.7459,191.7844,41.41427,69.78984,9.552368,16.01032,52628.77,891.4201,236.1219,102.8954,6.00388,1170.182,3559.789,61989.54,211.1666,215.4436,2,2.000644,1,1,2.001288,1,2.000644,3.001288,6.00322,1,2.000644,6.00322,4.659248,1,2.000644,4.002575,112.7432,2.802858
                      Jar_BLK_1,85,44841.7307,85.0001,86,0,250.1073,1620.844,4987.978,83.38699,47356.95,166.774,390.0635,407.8145,6876.228,16745.49,48899.23,7485.611,37477.48,166.774,20363700,82.32287,50.11634,140.3913,64.9044,80.89495,30.50795,18653.1,14.73739,16400.94,87.09637,12.3925,333286.2,2872.073,0,697.0005,0,70.49615,62.29747,1131807,0,109.8419,212.1634,1409.12,48.82194,2772.539,663.3923,1310.828,101.5617,644.6412,182.3824,337.1014,35.96597,9.957816,23.44512,334.9256,354.862,1209.234,1236.647,69.48077,81.05698,153.6937,279.4604,554.411,920.5021,161.3933,31.07783,47.25492,13.19479,32.29878,186.8512,217.0038,31.48929,101.9436,11.46284,24.01552,52616.41,939.9856,223.6172,124.2211,5.002575,1221.88,3488.02,61873.63,188.3466,234.6113,1,2.000644,2.000644,1,0,1,5.269015,2.001288,3.001932,6.003863,3.000644,3.001932,0,0,4.000645,3.000644,112.9967,2.801332
                      Jar_BLK_1,86,44841.7307,86.0001,87,0,83.38699,1298.693,4727.465,83.33335,48197.6,166.774,338.271,339.574,9378.881,17142.85,60111.2,8213.88,38599.96,250.161,20936640,41.48301,50.11634,114.6167,0,32.34747,16.07003,18256.9,0,16026.89,35.0912,61.96248,346346.2,2487.123,10.63317,819.9225,19.32418,35.71891,17.79928,1171088,0,178.6185,274.5574,1361.875,50.95168,2822.901,787.9564,1832.011,120.6048,655.5959,183.1875,431.6649,41.10395,14.93672,25.03866,522.2101,388.1183,1306.022,1587.13,80.45164,129.0054,120.9778,286.0277,746.7915,929.1381,241.6659,51.79647,54.39137,10.9956,90.43693,200.7707,269.1045,55.10647,129.7582,5.731421,25.01616,52886.65,901.2615,220.7492,114.9253,6.003863,1174.919,3280.891,61215.83,185.5633,199.6666,46.02983,13.0084,11.0071,9.005811,7.004507,4.002575,18.5901,5.002592,15.00903,7.004507,7.003863,5.002592,4.002575,2,2.000644,1.000644,112.7432,2.802858
                      Jar_BLK_1,87,44841.7307,87.0001,88,166.774,83.38699,1325.569,4511.277,83.38699,48432.55,166.774,587.9462,500.3219,7053.473,18050.94,61872.22,8409.075,39541.66,645.1146,19061390,41.16143,25.05817,157.9408,32.45207,32.35788,32.14006,19327.74,34.08022,16085.38,24.87662,37.17749,318319.8,2553.866,0,759.1863,19.32418,116.0866,35.59885,1149411,0,119.0787,204.8134,1576.467,48.82194,2872.228,765.1825,1658.238,120.6047,537.9729,135.3671,468.7886,51.37983,38.66449,18.7561,368.7104,369.3134,1247.248,1807.66,91.19383,117.4631,168.3569,351.4616,733.5908,869.5891,213.5146,32.63577,66.46554,37.38507,92.16163,207.7844,309.5138,64.94685,136.3996,17.19426,26.01679,52736.23,876.1077,217.225,113.3663,4.001932,1179.741,3394.511,60705.97,217.1313,191.6745,236.4075,86.05614,49.21927,17.01096,7.004507,12.00774,105.1935,26.9705,43.02782,21.01354,13.00839,2.000644,3.001288,0,1,5.002576,113.0774,2.801714
                      Jar_BLK_1,88,44841.7307,88.0001,89,97.99122,0,1344.789,3430.938,0,50191.48,166.774,472.9606,418.5636,10608.03,18728.15,64387.48,9454.556,38352.23,333.5479,22137800,0,45.95629,128.978,0,16.17894,0,18923.13,14.72791,15548.8,49.76924,0,346353.4,2417.598,21.26634,740.4716,0,26.78918,44.49819,1178619,25.98329,195.6293,303.7593,1528.298,16.27398,2798.747,705.6541,1941.095,118.0139,697.8052,182.4525,516.1953,30.82798,14.0518,14.06707,454.9768,385.843,1293.379,2076.62,83.18729,117.2722,116.5087,364.8486,897.0266,883.2038,155.2372,38.84727,39.5012,35.71855,123.3249,201.9229,325.1342,72.81938,132.3405,11.46287,14.96277,52988.23,924.4285,220.7444,98.86152,3.408443,1154.232,3389.249,60606.33,229.8176,227.7454,439.9197,117.4707,85.33694,31.34844,11.0071,10.00581,208.2714,63.3927,86.05581,33.51385,19.01228,7.004523,3.001932,4.001932,3.915939,3.001288,112.9352,2.802858
                      Jar_BLK_1,89,44841.7307,89.0001,90,166.774,83.33335,1596.741,4471.347,0,48493.79,105.5367,414.0038,525.7289,9672.373,19459.14,68958.9,7988.946,39534.39,166.774,21289720,0,25.05817,175.4895,32.45207,16.17894,16.07003,19381.63,58.94957,15890.98,37.32693,0,336342.2,2405.984,21.26634,693.5772,28.98627,58.4618,53.39797,1188266,17.32219,173.9004,274.2932,1602.542,16.27398,2841.493,773.1692,1733.655,133.3002,579.4596,196.0858,459.8453,20.55193,14.93672,14.06707,457.8282,393.2005,1237.262,2432.148,80.45189,98.15936,123.2777,321.2908,908.9694,832.7565,170.8084,44.02694,68.75137,217.9153,121.626,190.9252,390.4651,49.20217,167.7846,7.641895,19.27809,53136.24,924.1202,208.077,115.8764,6.151752,1179.836,3395.94,61277.23,201.0331,195.1046,439.3847,131.4088,93.06057,28.01814,12.14066,17.16735,214.71,79.0202,80.75571,31.02004,25.01613,3.000644,2.000644,3.001288,2,3.001288,112.7565,2.801332
                      Jar_BLK_1,90,44841.7307,90.0001,91,0,166.774,1127.194,4223.469,83.33335,45948.36,267.5876,166.774,500.3233,8849.812,18818.42,68099.84,7390.108,43094.21,413.3532,20514470,41.16143,0,230.6729,97.35647,64.71602,16.07003,18942.33,0,16272.5,37.32693,24.78499,339366.2,2747.464,21.2595,860.4509,28.98627,44.64864,35.59855,1189428,0,133.5977,309.0996,1511.324,32.5481,2992.362,720.8176,2049.776,121.9934,657.9763,162.8412,494.1964,21.37481,19.91563,0,497.6829,467.9075,1352.675,2508.045,90.8939,100.9844,106.161,318.9915,935.1359,956.3926,208.5461,51.18939,71.59602,428.9555,175.8431,188.4919,333.5526,63.93203,219.1261,15.28379,17.01098,52869.27,925.3334,196.3791,118.8783,5.002576,1133.502,3418.611,61008.58,187.4753,218.378,522.9879,143.3381,81.05267,35.02263,17.15951,13.00837,207.1322,75.04874,98.2046,36.02336,22.74905,6.003863,3.000644,2.000644,5.001932,1,112.9833,2.802858
                      Jar_BLK_1,91,44841.7307,91.0001,92,83.38699,83.38699,1230.617,3536.504,166.774,48077.64,220.1938,83.38699,917.2568,10077.82,19064.72,69430.16,6677.922,40007.45,250.1623,20845840,0,0,262.1035,0,0,16.07003,19307.76,0,16122.87,12.90404,37.17749,339216.5,2642.029,0,816.1919,9.662089,62.50823,69.65009,1189187,17.32219,234.6195,230.0773,1855.731,24.41097,2907.7,630.8498,2221.099,93.13125,617.7302,203.6382,414.0628,51.38017,14.93672,18.75316,527.1603,421.3399,1339.233,2605.086,95.60082,112.3092,165.281,320.6288,1183.092,913.3636,233.2146,36.25746,94.10502,630.2565,155.9351,172.0876,368.6163,78.72348,395.9944,26.50785,11.59341,52731.41,872.54,226.7637,135.4846,9.005811,1141.953,3296.626,60958.41,197.689,214.2839,464.178,107.5388,109.5713,35.13206,18.37121,16.62009,243.1782,82.71014,108.0391,41.0265,12.00773,5.002576,6.003219,4.001948,4.001932,2,112.7912,2.802858
                      Jar_BLK_1,92,44841.7308,92.0001,93,83.33335,83.33335,1417.59,4707.379,83.38699,45523.7,218.5651,250.161,427.684,7008.782,20739.97,75261.58,8209.213,40001.3,416.9363,20395590,41.16143,71.30811,149.063,32.45207,16.17894,16.07003,18982.76,0,15561.63,28.65133,12.3925,329370.2,2411.612,30.36268,831.9877,9.655875,44.64878,67.25142,1193729,0,132.053,236.2571,1823.737,24.41097,3037.908,727.4437,2105.321,108.6284,561.785,247.1937,457.0204,51.37991,19.91563,46.89032,453.2254,448.3713,1164.95,2927.67,87.54386,113.0095,132.1086,332.4802,1094.19,937.5842,198.7104,45.90865,90.42147,795.1833,236.0895,177.2632,425.4275,106.7382,721.1468,48.03075,16.01035,52667.4,903.9965,230.1887,97.66937,8.004507,1149.552,3410.786,60975.96,194.3266,228.8116,595.2653,176.5297,131.5036,39.79133,13.57907,16.01035,317.8656,80.16151,136.0849,30.809,23.01483,0,5.003219,2.000644,4.001288,5.001932,112.918,2.802095
                      Jar_BLK_1,93,44841.7308,93.0001,94,0,0,1640.391,3950.81,250.161,48269.93,416.9363,297.0665,833.8753,9390.849,21078.27,72926.8,7567.869,39112.5,414.8177,21042420,82.32287,0,193.0384,32.45207,0,32.12972,19706.83,29.47478,15019.27,62.21155,24.78499,330223.1,2654.113,21.26634,822.3582,9.662089,53.57835,58.14329,1196954,8.661096,149.4131,300.6614,1744.865,8.13699,2933.172,724.3745,2136.889,114.257,611.9232,184.9002,407.0359,41.10403,39.83126,37.51219,535.1221,451.275,1331.647,2790.146,102.393,100.9844,153.0833,347.7889,1185.648,885.3188,231.9277,67.33535,73.79514,815.8234,189.7617,202.6003,457.4381,104.4474,1279.165,66.15052,27.69756,52982.98,958.1961,211.5903,131.0953,4.002575,1117.233,3402.286,60791.19,195.9549,193.1746,1053.866,256.4722,165.4566,42.9809,21.21681,23.01484,478.328,131.0692,186.7987,51.31451,28.01808,3.001288,1.000644,0,4.000645,3.001288,112.9814,2.801714
