,AbsTime,RelTime,Cycle,m15.010 (B_m15.010) (Corr),m15.973 (B_m15.973) (Corr),m16.982 (B_m16.982) (Corr),m17.009 (B_m17.009) (Corr),m18.018 (B_m18.018) (Corr),m18.886 (B_m18.886) (Corr),m18.940 (B_m18.940) (Corr),m19.016 (B_m19.016) (Corr),m19.454 (B_m19.454) (Corr),m19.737 (B_m19.737) (Corr),m20.009 (B_m20.009) (Corr),m21.008 (B_m21.008) (Corr),m26.999 (B_m26.999) (Corr),m27.988 (B_m27.988) (Corr),m28.991 (B_m28.991) (Corr),m29.975 (B_m29.975) (Corr),m30.989 (B_m30.989) (Corr),m31.976 (B_m31.976) (Corr),m32.973 (B_m32.973) (Corr),m33.005 (B_m33.005) (Corr),m33.968 (B_m33.968) (Corr),m36.641 (B_m36.641) (Corr),m36.917 (B_m36.917) (Corr),m37.017 (B_m37.017) (Corr),m37.663 (B_m37.663) (Corr),m37.752 (B_m37.752) (Corr),m38.004 (B_m38.004) (Corr),m39.002 (B_m39.002) (Corr),m41.007 (B_m41.007) (Corr),m42.002 (B_m42.002) (Corr),m43.016 (B_m43.016) (Corr),m43.975 (B_m43.975) (Corr),m45.002 (B_m45.002) (Corr),m45.962 (B_m45.962) (Corr),m47.035 (B_m47.035) (Corr),m48.022 (B_m48.022) (Corr),m48.979 (B_m48.979) (Corr),m49.978 (B_m49.978) (Corr),m50.999 (B_m50.999) (Corr),m53.014 (B_m53.014) (Corr),m55.014 (B_m55.014) (Corr),m57.037 (B_m57.037) (Corr),m59.023 (B_m59.023) (Corr),m60.023 (B_m60.023) (Corr),m61.011 (B_m61.011) (Corr),m62.003 (B_m62.003) (Corr),m63.002 (B_m63.002) (Corr),m65.030 (B_m65.030) (Corr),m69.041 (B_m69.041) (Corr),m71.048 (B_m71.048) (Corr),m73.032 (B_m73.032) (Corr),m74.027 (B_m74.027) (Corr),m75.019 (B_m75.019) (Corr),m77.010 (B_m77.010) (Corr),m78.017 (B_m78.017) (Corr),m79.022 (B_m79.022) (Corr),m81.017 (B_m81.017) (Corr),m83.059 (B_m83.059) (Corr),m85.058 (B_m85.058) (Corr),m87.031 (B_m87.031) (Corr),m88.048 (B_m88.048) (Corr),m89.035 (B_m89.035) (Corr),m90.925 (B_m90.925) (Corr),m91.020 (B_m91.020) (Corr),m93.013 (B_m93.013) (Corr),m94.016 (B_m94.016) (Corr),m95.027 (B_m95.027) (Corr),m96.029 (B_m96.029) (Corr),m97.057 (B_m97.057) (Corr),m101.057 (B_m101.057) (Corr),m103.045 (B_m103.045) (Corr),m105.032 (B_m105.032) (Corr),m107.032 (B_m107.032) (Corr),m109.059 (B_m109.059) (Corr),m111.078 (B_m111.078) (Corr),m117.060 (B_m117.060) (Corr),m125.093 (B_m125.093) (Corr),m143.113 (B_m143.113) (Corr),m149.027 (B_m149.027) (Corr),m151.034 (B_m151.034) (Corr),m203.960 (B_m203.960) (Corr),m204.933 (B_m204.933) (Corr),m205.922 (B_m205.922) (Corr),m207.005 (B_m207.005) (Corr),m217.909 (B_m217.909) (Corr),m223.046 (B_m223.046) (Corr),m224.050 (B_m224.050) (Corr),m225.026 (B_m225.026) (Corr),m228.995 (B_m228.995) (Corr),m266.983 (B_m266.983) (Corr),m268.971 (B_m268.971) (Corr),m281.054 (B_m281.054) (Corr),m282.058 (B_m282.058) (Corr),m283.028 (B_m283.028) (Corr),m285.015 (B_m285.015) (Corr),m286.988 (B_m286.988) (Corr),m297.068 (B_m297.068) (Corr),m299.047 (B_m299.047) (Corr),m329.812 (B_m329.812) (Corr),m330.846 (B_m330.846) (Corr),m331.860 (B_m331.860) (Corr),m341.026 (B_m341.026) (Corr),m342.022 (B_m342.022) (Corr),m343.009 (B_m343.009) (Corr),m355.131 (B_m355.131) (Corr),m356.143 (B_m356.143) (Corr),m357.094 (B_m357.094) (Corr),m358.080 (B_m358.080) (Corr),m359.040 (B_m359.040) (Corr),m360.035 (B_m360.035) (Corr),m371.127 (B_m371.127) (Corr),m372.127 (B_m372.127) (Corr),m373.088 (B_m373.088) (Corr),m374.079 (B_m374.079) (Corr),m375.072 (B_m375.072) (Corr),m376.054 (B_m376.054) (Corr),m429.097 (B_m429.097) (Corr),m430.093 (B_m430.093) (Corr),m431.089 (B_m431.089) (Corr),m432.081 (B_m432.081) (Corr),m433.068 (B_m433.068) (Corr),m445.114 (B_m445.114) (Corr),m446.115 (B_m446.115) (Corr),m447.099 (B_m447.099) (Corr),m448.096 (B_m448.096) (Corr),m449.089 (B_m449.089) (Corr),E/N_Act [Td],p-Drift_Act [mbar],group_id
24,44843.7518,24.0,25.0,166.774,1309.117,1727.03,6860.395,74141.09,4555.031,4034.093,27959220.0,799043.1,14589.26,63802.54,33640600.0,99.2223,731.7628,65446.01,37859.87,663.2103,1183696.0,5402.340999999999,2524.515,1911.6029999999998,47.86938,219.0643,888035.7,67.91055,50.6936,669.3323,1696.921,66.98378000000001,89.68824000000001,202.415,203.0112,564.2198,211.1951,164.5643,16.45297,5.308602,61.720909999999996,14.9456,42.22692,119.7565,73.87813,296.0281,31.13911,309.3878,29.899420000000003,3.6573559999999996,0.0,32.58572,12.063089999999999,39.387170000000005,35.69627,176.8266,1057.099,270.3052,13.51634,15.541939999999999,12.35957,18.86488,13.51687,81.48395,62.52409,115.8722,105.4403,24.01045,25.60209,52.36205,7.644639999999999,12.70006,10.72695,6.981393,13.64206,21.67297,17.930220000000002,13.740720000000001,8.991678,11.10704,6.032624,6.978308,11.49555,189738.1,1324.2939999999999,78.05096999999999,12.007760000000001,91.96643,7.004523,7.004507,4.002575,6.003236,5.0032190000000005,2.000644,13.00774,6.0032190000000005,5.002576,1.0,2.000644,3.001288,2.001288,2436.985,115212.6,184.2611,3.001288,1.0,3.000644,3.001288,3.001288,1.0,1.0,0.0,2.0,5.002576,4.002575,2.001288,0.0,0.0,0.0,4.001932,1.0,0.0,0.0,1.0,4.001288,3.000644,3.001288,3.001288,1.0,113.9594,2.780732,                      Jar_BLK_13
25,44843.7518,25.0,26.0,500.2683,860.0953,1500.971,6222.779,77773.41,4973.085999999999,3231.514,28789930.0,1114377.0,15656.62,66171.08,33866550.0,19.84433,525.8159,62148.64,37153.42,377.5605,1086109.0,5188.505,2751.8190000000004,2026.665,98.75485,133.2128,1490436.0,67.91055,17.80547,1164.991,2423.428,194.6212,48.296170000000004,448.3547,190.8623,441.6929,309.3423,187.604,16.45297,5.312018,46.290620000000004,29.89128,9.383741,239.5463,66.87309,399.8414,39.06058,889.0344,14.949679999999999,18.29619,3.511732,48.87976,29.12695,96.95322,44.62037,356.8495,917.6461,243.5716,27.030990000000003,7.770948,32.42467,16.50677,13.51687,100.9605,49.58802,106.9367,140.9002,66.02214000000001,34.83356,77.57526,9.5558,28.034190000000002,10.72695,13.962760000000001,10.23237,11.67005,21.19025,7.973205999999999,4.493911,4.165476,9.652217,6.978308,4.598221,175341.2,1295.98,72.04736,8.005151,85.05563000000001,16.00966,5.0032190000000005,15.009670000000002,3.001932,3.001288,2.000644,7.003863000000001,2.001288,5.00322,1.0,1.0,5.00322,8.005167,2112.498,105389.3,194.2885,3.001288,1.000644,3.001288,8.005167,0.0,4.001305,2.000644,4.001932,4.001932,1.0,2.000644,0.0,2.0,0.0,3.001932,0.0,2.000644,2.000644,2.000644,2.001288,1.0,1.000644,2.000644,2.000644,2.000644,113.9312,2.783784,                      Jar_BLK_13
26,44843.7518,26.0,27.0,166.774,1584.305,1061.234,6415.331999999999,76607.89,4035.6540000000005,3962.535,28747150.0,1062373.0,15672.45,66881.33,35112690.0,103.4851,471.2379,63934.01,38384.16,348.7527,1099141.0,4982.598,2218.555,1898.86,44.8885,179.1264,1464952.0,112.8913,45.281,1102.045,2747.0440000000003,187.3871,13.79,249.4387,152.6268,238.3698,283.0689,164.7055,10.96865,15.936060000000001,51.4341,19.92747,33.62202,244.3116,71.07758000000001,409.9926,37.61857,704.2883,36.57671,7.314711999999999,7.025724,42.36414,31.415570000000002,147.3305,44.62028,429.9311,1068.112,200.3682,24.329420000000002,28.49963,34.60683,15.2909,18.0225,81.55311999999999,38.808040000000005,97.10821999999999,111.891,89.50098,33.218109999999996,75.62902,11.58641,18.83664,5.363477,10.47208,5.115115,27.59923,30.97045,11.38674,8.991678,8.124871,4.826098,45.35929,9.025824,174842.7,1254.187,83.10116,14.00906,94.72507,20.0129,7.004507,12.00773,4.002575,7.004507,2.001288,14.15748,5.00322,5.002576,3.000644,1.0,9.005151,5.002576,2158.749,106414.6,179.055,2.000644,0.0,3.001932,4.001932,1.0,5.0032190000000005,2.0,1.0,2.000644,0.0,2.000644,2.000644,0.0,3.000644,1.0,0.0,2.000644,1.000644,5.0019480000000005,2.0,0.0,0.0,0.0,3.001288,4.001932,113.7426,2.7872169999999996,                      Jar_BLK_13
27,44843.7518,27.0,28.0,166.7204,1000.648,1696.4460000000001,8127.424,80371.98,4103.241,3958.139,28864520.0,1054063.0,16495.78,62940.71,34951410.0,79.37732,692.5767,62826.33,35883.69,399.1717,1083042.0,4862.308,2182.772,1859.424,44.88865,164.0165,1432883.0,178.2659,50.6936,1286.5739999999998,2411.803,164.239,34.49275,377.0579,152.6494,245.8301,306.6586,213.1564,5.484323000000001,15.936060000000001,51.43419,21.72764,9.383741,235.1089,75.68482,429.567,78.12124,741.3215,18.68476,14.63649,6.42862,68.43451999999999,75.29323000000001,112.1025,50.56975,368.1424,886.6169,226.0461,29.736,36.27233,29.662959999999998,18.86488,15.768239999999999,96.90005,56.56142,145.8671,161.3197,82.03602,23.63266,83.78743,11.46696,22.22133,17.87826,6.981364999999999,11.93776,21.673,29.3404,20.72931,13.76658,9.719466,7.239147999999999,34.89012,8.17262,180738.3,1321.842,69.95963,12.00774,86.05995,13.008389999999999,5.002575,12.00774,3.001288,1.0,0.0,13.9934,6.003236,4.001932,3.001288,5.002576,14.008420000000001,8.003863,2153.187,108805.5,189.1945,4.002575,1.0,4.001932,5.0032190000000005,1.000644,1.000644,1.0,0.0,3.001288,2.000644,4.001932,0.0,3.001288,2.000644,1.0,2.000644,1.0,2.0,4.002575,0.0,0.0,0.0,3.001932,0.0,1.0,113.6992,2.790651,                      Jar_BLK_13
28,44843.7518,28.0,29.0,83.38699,1059.118,1495.955,7356.477,74944.21,4015.922,2919.4990000000003,29196860.0,1078855.0,16355.39,65795.77,34867720.0,39.68866,474.243,59856.56,37142.61,317.9338,1090560.0,5479.858,2684.953,1835.399,62.8439,110.8867,1458372.0,101.8658,25.3468,1138.4769999999999,2407.19,144.1631,20.69831,361.4963,165.3705,360.6125,281.962,225.1851,21.93729,21.24825,56.57767,14.9456,14.07569,198.3227,92.50376999999999,468.8161,70.30914,713.0546,22.422179999999997,10.97913,10.539719999999999,52.14052,31.415570000000002,145.5016,41.64569,352.5814,945.0607,236.0732,43.252390000000005,7.772614,39.55082,7.074367,18.02253,99.101,47.43207,87.6215,137.5574,85.05299000000001,31.510409999999997,83.93844,9.5558,15.069289999999999,16.09046,20.94429,8.525877000000001,20.00583,17.930220000000002,14.351770000000002,13.487520000000002,5.553968,4.826098,51.16968,5.747037000000001,177994.4,1297.5,63.61938000000001,10.00644,94.06099,21.01355,6.00322,14.345170000000001,3.001288,1.0,1.0,22.014229999999998,4.001932,12.00774,2.000644,1.0,6.00322,6.535455000000001,2236.0679999999998,108792.7,193.2839,3.001288,0.0,0.0,6.003863,1.000644,3.001932,3.001288,1.000644,2.000644,2.000644,3.000644,2.000644,0.0,2.000644,1.0,3.000644,0.0,3.001288,5.002592,1.0,1.000644,0.0,2.000644,2.001288,6.0032190000000005,113.4613,2.79294,                      Jar_BLK_13
29,44843.7518,29.0,30.0,0.0,1334.1989999999998,1845.112,6907.149,81176.52,3991.2129999999997,3986.255,28314520.0,1088646.0,16834.19,65215.52,32339380.0,99.20921,352.8165,61980.72,36543.98,347.979,1085619.0,5553.985,2596.6079999999997,2061.706,75.97745,122.594,1481230.0,65.27438000000001,92.93854,1050.7060000000001,2570.453,132.1828,20.69831,326.1689,171.7087,358.831,217.0926,159.319,0.0,5.308602,51.43418,0.0,23.45935,199.8027,105.118,510.1324,42.96147,680.4359,33.634440000000005,7.319419,10.54198,52.14058,40.84025,120.3279,47.59516,431.5927,1023.166,283.5958,35.14258,20.72531,32.13495,20.87295,31.536509999999996,88.09085999999999,43.12,118.191,122.2593,56.75209,31.510279999999998,102.7811,7.643411,26.37132,16.090429999999998,12.21627,18.75825,15.00435,42.38054,9.119377,11.987960000000001,11.22637,9.652197,48.621320000000004,14.944270000000001,181005.2,1293.013,70.04573,14.00901,96.06664,15.009689999999999,6.0038800000000005,9.005794999999999,5.002575,5.00322,1.0,21.01361,9.005794999999999,3.001932,3.001288,0.0,9.005794999999999,8.004524,2316.472,110963.0,158.1915,3.001932,0.0,2.000644,1.000644,1.0,2.000644,1.000644,2.001288,3.1973700000000003,2.000644,5.0032190000000005,0.0,1.0,1.000644,2.000644,2.0,0.0,3.000644,4.001932,2.0,2.000644,3.000644,2.0,2.0,2.000644,113.4303,2.793703,                      Jar_BLK_13
30,44843.7518,30.0,31.0,667.0959,1892.7060000000001,1297.23,6643.294,77270.18,3653.054,2700.917,29009420.0,1079259.0,15511.42,70431.21,35931970.0,59.520230000000005,713.0788,63051.95,37166.02,344.1378,1100295.0,5042.6320000000005,2626.17,1996.0339999999999,53.86635,107.261,1466651.0,59.42187,95.97516,1248.35,2585.965,215.8511,13.79887,324.0515,178.0911,289.272,218.1986,193.8448,16.45297,5.308602,54.809369999999994,24.906129999999997,32.8431,152.2796,92.60226,485.7825,66.40032,701.7212,22.42212,7.3170660000000005,8.400638,68.43451999999999,21.99095,142.4007,41.64574,417.8282,1046.175,192.816,32.43931,20.72701,35.12678,24.9435,22.52819,110.1064,54.06844,114.8826,145.9904,83.30259000000001,23.17878,75.63611999999999,1.9111599999999997,9.418287,8.939128,13.962760000000001,13.64316,28.341659999999997,44.0108,22.32398,11.9889,19.10804,14.47838,43.03317,10.34528,184623.3,1311.476,83.72646999999999,11.00708,80.41194,15.291120000000001,4.002575,12.00774,0.0,1.0,4.002575,20.01289,6.003863,10.00579,0.0,3.001288,4.001932,11.0065,2314.419,112187.0,182.2441,2.000644,0.0,1.0,4.001932,1.0,4.001932,1.0,3.001288,3.000644,6.00322,1.0,3.000644,2.001288,0.0,5.002576,2.0,2.000644,2.000644,0.5156251000000001,1.0,2.220038,0.0,2.000644,0.0,4.002575,113.2337,2.791414,                      Jar_BLK_13
31,44843.7519,31.0,32.0,166.774,975.7309,2251.48,6426.465999999999,78296.94,3616.1740000000004,3839.3920000000003,28369280.0,1088047.0,16314.58,70522.79,35999880.0,79.36456,335.1519,61311.14,37525.07,359.5073,1091699.0,4928.6,2441.468,1806.332,35.9108,173.2542,1501329.0,93.37714,109.8368,1195.917,2483.6479999999997,194.6217,26.85227,348.0951,209.8709,299.0,218.1982,227.0087,10.965119999999999,5.308602,61.7209,14.9456,23.45936,274.3667,100.9132,432.7892,35.15447,617.0396,26.161939999999998,10.97913,3.513992,91.24622,25.132460000000002,127.2517,47.59515,406.8993,976.6521,212.9279,40.54916,28.49963,49.43843,14.14869,22.52816,85.3131,40.964079999999996,107.8273,140.9,86.75713,27.5715,76.77235,5.73348,20.71902,16.09046,10.158430000000001,11.93776,25.00623,45.64063,9.566822,7.493066000000001,8.330059,11.73536,48.84858,9.196442,183111.6,1330.596,76.22935,18.01162,95.06576,12.77386,5.0032190000000005,12.007760000000001,4.001932,3.001288,4.001932,17.01032,8.005151,9.005167,5.002575,2.000644,4.001932,9.005151,2330.437,111803.9,172.8836,1.0,2.0,0.0,5.00322,0.0,5.0032190000000005,1.0,3.000644,1.0,0.0,4.564794,1.0,3.001304,2.001288,0.0,2.000644,1.000644,2.000644,2.001288,1.0,2.4456,2.000644,1.0,2.000644,3.001932,113.7008,2.791795,                      Jar_BLK_13
32,44843.7519,32.0,33.0,214.0049,833.874,2178.658,6489.861,81699.35,3302.28,2825.4179999999997,29510670.0,1083808.0,14733.3,69847.9,36599800.0,19.831570000000003,480.8513,60608.24,36481.38,343.2079,1098411.0,5272.608,2588.085,1852.846,44.8885,118.1041,1489715.0,135.8215,118.2853,1267.473,2446.879,198.5072,6.899437,444.1277,171.7315,244.7921,311.4283,197.4793,21.937379999999997,10.624039999999999,48.19947,9.963734,28.1513,215.8756,94.21205,508.52,50.77871,630.7424,7.472436999999999,0.0,0.0,68.43457,50.6455,121.0735,47.59516,407.694,1004.7639999999999,198.5459,40.54912,33.68137,49.43843,25.93921,15.76976,94.69789,66.36449,124.192,135.0724,68.56931,31.510379999999998,108.5989,13.37815,26.37136,8.939128,13.962729999999999,22.16909,20.00583,33.69566,14.35075,7.493066000000001,12.49643,14.478320000000002,62.5054,4.597481,183871.6,1426.029,78.05091999999999,17.01095,64.04191999999999,17.01101,4.001932,11.00644,2.000644,5.002576,1.0,14.00903,8.005151,3.001288,2.000644,1.0,2.000644,4.001932,2279.464,111416.8,172.2232,1.4765629999999998,2.001288,0.0,8.004507,1.000644,1.0,2.000644,0.0,3.001288,2.000644,3.001288,4.001932,4.001932,6.00322,4.001932,2.0,1.0,3.001288,1.0,1.0,3.001288,3.118475,2.000644,2.0,1.0,113.6664,2.790269,                      Jar_BLK_13
33,44843.7519,33.0,34.0,166.774,1334.2020000000002,1627.03,6853.149,74724.57,3936.441,2942.969,29515300.0,1074565.0,16158.8,69457.93,35598750.0,74.68755,431.3748,61178.37,37672.35,349.3042,1096684.0,5037.9890000000005,2475.114,2165.43,97.5625,275.2511,1489916.0,102.015,51.07328,1302.481,2622.7670000000003,113.6976,48.29606,268.0491,212.2933,354.4993,287.6877,210.2228,27.421609999999998,15.93264,66.86447,24.903010000000002,48.705729999999996,243.9659,130.3466,464.9837,27.342309999999998,804.6904,22.422179999999997,7.319419,11.59206,58.65829,37.69879,112.1021,26.77226,403.575,968.2247,275.8008,55.56502,23.31784,49.86322,14.148660000000001,20.27531,96.98687,68.99204,126.6247,153.6625,85.2866,29.3102,122.0,22.93398,27.489659999999997,10.72695,10.47205,10.23237,18.3376,45.64055,7.972180000000001,14.98615,9.719467,8.445672,52.673790000000004,8.046185000000001,181714.0,1310.4669999999999,72.04694,20.012929999999997,93.06113,17.00972,2.001288,8.004508,3.001932,6.003863,1.000644,17.0103,6.003863,9.005151,3.001932,1.0,1.0,5.002592,2347.189,111803.0,177.9147,2.001288,3.001288,2.000644,10.529589999999999,1.0,3.001288,1.0,1.0,2.000644,3.001288,5.0032190000000005,0.0,4.001932,2.000644,2.0,2.0,0.0,1.0,2.000644,5.00322,2.000644,0.0,0.0,3.001288,2.001288,113.0561,2.791032,                      Jar_BLK_13
