,AbsTime,RelTime,Cycle,m17.009 (B_m17.009) (Corr),m18.018 (B_m18.018) (Corr),m18.887 (B_m18.887) (Corr),m18.940 (B_m18.940) (Corr),m19.015 (B_m19.015) (Corr),m19.454 (B_m19.454) (Corr),m19.739 (B_m19.739) (Corr),m20.008 (B_m20.008) (Corr),m21.009 (B_m21.009) (Corr),m27.001 (B_m27.001) (Corr),m28.991 (B_m28.991) (Corr),m29.975 (B_m29.975) (Corr),m30.986 (B_m30.986) (Corr),m31.974 (B_m31.974) (Corr),m32.973 (B_m32.973) (Corr),m33.005 (B_m33.005) (Corr),m33.969 (B_m33.969) (Corr),m37.015 (B_m37.015) (Corr),m37.642 (B_m37.642) (Corr),m37.692 (B_m37.692) (Corr),m38.002 (B_m38.002) (Corr),m39.002 (B_m39.002) (Corr),m41.006 (B_m41.006) (Corr),m42.002 (B_m42.002) (Corr),m43.017 (B_m43.017) (Corr),m43.975 (B_m43.975) (Corr),m44.994 (B_m44.994) (Corr),m45.962 (B_m45.962) (Corr),m46.993 (B_m46.993) (Corr),m50.999 (B_m50.999) (Corr),m53.013 (B_m53.013) (Corr),m55.014 (B_m55.014) (Corr),m57.037 (B_m57.037) (Corr),m59.027 (B_m59.027) (Corr),m60.025 (B_m60.025) (Corr),m61.016 (B_m61.016) (Corr),m62.992 (B_m62.992) (Corr),m69.041 (B_m69.041) (Corr),m71.050 (B_m71.050) (Corr),m73.028 (B_m73.028) (Corr),m75.023 (B_m75.023) (Corr),m77.009 (B_m77.009) (Corr),m78.018 (B_m78.018) (Corr),m81.019 (B_m81.019) (Corr),m83.058 (B_m83.058) (Corr),m88.050 (B_m88.050) (Corr),m89.043 (B_m89.043) (Corr),m90.924 (B_m90.924) (Corr),m91.019 (B_m91.019) (Corr),m93.009 (B_m93.009) (Corr),m94.015 (B_m94.015) (Corr),m95.026 (B_m95.026) (Corr),m96.028 (B_m96.028) (Corr),m97.059 (B_m97.059) (Corr),m103.044 (B_m103.044) (Corr),m117.061 (B_m117.061) (Corr),m149.025 (B_m149.025) (Corr),m203.960 (B_m203.960) (Corr),m204.933 (B_m204.933) (Corr),m205.922 (B_m205.922) (Corr),m217.913 (B_m217.913) (Corr),m223.045 (B_m223.045) (Corr),m225.025 (B_m225.025) (Corr),m281.052 (B_m281.052) (Corr),m283.022 (B_m283.022) (Corr),m286.981 (B_m286.981) (Corr),m329.810 (B_m329.810) (Corr),m330.843 (B_m330.843) (Corr),m331.863 (B_m331.863) (Corr),m341.023 (B_m341.023) (Corr),m355.128 (B_m355.128) (Corr),m356.139 (B_m356.139) (Corr),m357.085 (B_m357.085) (Corr),m358.077 (B_m358.077) (Corr),m359.037 (B_m359.037) (Corr),m371.124 (B_m371.124) (Corr),m372.129 (B_m372.129) (Corr),m373.085 (B_m373.085) (Corr),m374.076 (B_m374.076) (Corr),m375.062 (B_m375.062) (Corr),m429.098 (B_m429.098) (Corr),m430.094 (B_m430.094) (Corr),m431.090 (B_m431.090) (Corr),m432.082 (B_m432.082) (Corr),m445.108 (B_m445.108) (Corr),m446.110 (B_m446.110) (Corr),m447.100 (B_m447.100) (Corr),m448.091 (B_m448.091) (Corr),m449.089 (B_m449.089) (Corr),E/N_Act [Td],p-Drift_Act [mbar],group_id
69,44843.8159,69.0,70.0,2714.407,29827.07,3234.868,3322.191,30317000.0,238647.1,10945.27,42402.5,28196740.0,371.4461,41406.52,30557.58,333.183,1791845.0,4584.486,2896.914,2507.4339999999997,1420507.0,67.98884,93.23309,1077.4389999999999,2592.938,129.7577,89.80038,1776.658,288.9308,210.4747,270.3076,541.0538,1489.454,1335.201,282.0712,134.5523,266.8722,39.05875,4965.313,87.83844,121.188,56.5463,90.89899,1286.3980000000001,998.4168,175.0145,297.9545,27.1916,156.2966,149.5248,90.07091,134.2899,220.9644,211.8322,4405.755999999999,195.2045,50.857890000000005,40.14367,19.48169,28.43175,57645.45,569.0949,16.01032,38.023959999999995,15.009720000000002,19.402479999999997,45.24742,14.008389999999999,5.28465,3775.4970000000003,44015.42,163.4026,3.892486,325.758,77.53481,47.03049,14.00901,9.005794999999999,35.0227,9.005151,19.01227,6.00322,3.001288,2.000644,2.000644,1.0,2.000644,1.0,4.001932,3.001288,0.0,1.0,175.7392,2.791414,                      Jar_BLK_40
70,44843.8159,70.0,71.0,2645.9390000000003,30515.73,2672.808,3561.75,29711730.0,241081.5,12035.88,44300.27,26896340.0,392.155,41551.63,30248.0,242.9657,1795440.0,4448.21,2808.6890000000003,2804.26,1426751.0,42.492940000000004,50.85426,1014.432,2663.607,108.1313,44.67113,1493.598,335.1559,223.3114,194.6092,596.5355,1396.979,1470.71,270.5998,177.2998,264.7802,49.59216,4522.037,47.585879999999996,150.588,44.16444,72.71939,1010.322,1082.757,151.6613,346.8527,32.13557,167.5819,181.1111,76.91956,178.2239,209.2857,228.4278,4399.181,239.0073,30.137929999999997,36.65295,29.9719,36.75493,57400.97,574.4155,18.01161,37.02404,14.00903,18.01037,55.03591,12.00774,4.001932,3795.632,44344.27,169.3062,4.001932,316.7463,84.05489,51.033159999999995,14.00903,6.00322,41.026559999999996,13.008389999999999,29.018720000000002,14.008389999999999,6.00322,1.0,2.000644,6.00322,2.000644,2.000644,0.0,4.001932,1.000644,1.0,175.6912,2.792177,                      Jar_BLK_40
71,44843.8159,71.0,72.0,2772.656,31659.64,3802.605,3563.284,29615570.0,241456.6,9170.106,47728.74,27610040.0,376.9572,42761.19,28992.67,343.3997,1797678.0,4051.26,2633.9559999999997,2908.4040000000005,1436105.0,50.991659999999996,76.28152,937.4102,2942.948,90.02489,41.396570000000004,1249.988,269.2517,327.2124,200.5063,562.5546,1485.182,1543.568,292.7803,142.9621,280.8596,35.152879999999996,3916.966,62.22792,115.2811,56.5464,96.93498000000001,978.2737,1109.562,169.2198,331.3401,37.0795,197.6733,185.3978,98.79726,164.3262,184.4987,218.6889,4453.142,239.0518,45.20689,38.3983,34.46767,37.21837,57814.85,606.0779,21.01354,41.0266,26.016170000000002,19.00874,65.04098,11.0071,4.604525,3779.305,43954.87,186.2655,2.000644,308.5465,73.04751999999999,50.028890000000004,13.00773,8.004507,35.0226,16.0103,31.79399,6.00322,2.001288,4.002575,0.0,1.0,4.001932,1.0,2.000644,1.0,6.003236,0.0,175.7152,2.791795,                      Jar_BLK_40
72,44843.8159,72.0,73.0,2943.383,33272.62,2942.687,2888.402,29833230.0,241534.3,10511.36,47822.2,28308390.0,428.1646,42317.1,29110.59,380.2101,1786117.0,4312.179,2981.9640000000004,2924.982,1416735.0,62.195719999999994,127.1358,1040.618,2825.137,64.8741,55.191219999999994,1445.349,241.6964,278.6233,224.0958,465.8757,1507.5120000000002,1541.2839999999999,303.933,84.12761,279.9828,34.5273,3701.913,62.22309,130.3537,42.34347,87.86909,927.7072,937.1965,169.3046,303.3611,29.66357,167.4637,194.3897,92.00201,150.1703,172.3606,257.6669,4582.512,235.2755,51.43177,47.12512,22.478939999999998,37.218540000000004,58061.8,563.9941,33.01782,38.02473,12.00708,15.00903,69.34208000000001,18.01162,3.001932,3731.328,43951.19,149.9719,0.0,298.1861,68.04427,49.031729999999996,23.01482,8.004507,41.026559999999996,21.012929999999997,25.01613,8.004507,5.002576,2.0,2.0,5.00322,1.000644,2.0,0.0,0.0,1.0,1.0,175.6432,2.79294,                      Jar_BLK_40
73,44843.816,73.0,74.0,3461.105,32743.42,2539.913,3211.3790000000004,30418670.0,244032.0,10075.53,43184.44,28056660.0,390.0166,42171.9,29035.03,402.2459,1811571.0,4556.713,2771.1890000000003,2747.039,1434588.0,34.35953,42.378679999999996,1032.7089999999998,2768.284,140.6507,55.19566,1207.463,301.3644,341.4701,216.9219,484.3005,1676.201,1611.93,281.836,113.9638,294.0923,27.341079999999998,3394.5159999999996,58.41709,140.0599,54.35581,72.71913,898.6332,1066.971,125.162,295.4752,24.71646,182.2905,166.2837,108.649,136.7587,195.2522,273.9201,4758.708,225.6293,56.508590000000005,41.889,19.48173,31.40298,58113.64,523.8788,20.012929999999997,37.7113,11.00708,13.0084,62.21235,14.00903,4.001932,3789.39,43960.67,159.1956,2.000644,321.0984,75.04893,52.03387,17.01098,7.003864,37.023309999999995,16.009710000000002,25.01623,7.003863000000001,4.322451,2.000644,0.0,0.0,1.0,0.0,2.000644,2.000644,2.0,0.0,175.7152,2.791795,                      Jar_BLK_40
74,44843.816,74.0,75.0,3273.97,33025.84,3357.362,3124.013,29297960.0,252735.4,9770.65,42858.52,29390920.0,436.4775,42096.85,30869.28,277.3142,1793817.0,4512.233,2519.929,2713.343,1462004.0,42.492940000000004,76.28139,963.3347,2504.643,115.3402,84.16774000000001,1159.5539999999999,254.3906,325.4946,188.7121,495.7899,1601.58,1403.5079999999998,411.9359,138.7899,223.9969,27.341079999999998,3215.507,47.94308,153.1535,39.07193,90.89889000000001,950.8436,971.6234,165.4489,305.5334,12.35982,140.9404,186.6544,113.0913,144.7372,163.4413,247.5494,4818.991,273.8411,35.788709999999995,40.14372,44.741440000000004,38.03503,58323.5,593.2949,26.59532,42.02653,22.2019,17.01095,60.039030000000004,17.01037,6.0038800000000005,3820.034,44133.06,207.8024,4.001932,346.3308,74.04472,66.04302,14.00903,7.692007,23.01489,8.004524,26.01679,8.004507,6.816886,4.001288,1.500644,5.002576,5.002576,1.0,0.0,0.0,1.0,4.002575,175.7152,2.791795,                      Jar_BLK_40
75,44843.816,75.0,76.0,2617.924,28564.32,2898.062,3318.744,30479210.0,240742.1,9901.286,46803.94,27860520.0,307.2469,43088.31,30125.68,234.1001,1786764.0,4490.541,2642.17,3038.591,1455222.0,60.03787,127.1358,969.3873,2637.1259999999997,135.5443,84.01961999999999,1229.02,297.9714,309.2532,151.3662,519.5968,1731.3,1383.6429999999998,264.8033,92.50442,306.1856,25.716179999999998,3255.8,62.22773000000001,117.3065,37.697540000000004,74.91476,839.7186,1066.2930000000001,144.6812,284.9553,24.719720000000002,202.532,133.653,99.63788000000001,149.1914,178.1131,261.7389,4920.876,246.8408,41.4396,41.88915,20.98035,40.38878,58435.43,573.3718,28.018079999999998,41.026579999999996,27.016809999999996,18.01162,62.282709999999994,12.3908,5.0032190000000005,3881.7709999999997,44248.38,201.0041,5.00322,364.7278,84.48315,55.035619999999994,11.00712,3.001288,41.02655,10.00579,18.010939999999998,10.00581,6.00322,0.0,1.0,5.002575,1.0,2.000644,2.000644,1.0,6.002576,1.0,175.7152,2.791795,                      Jar_BLK_40
76,44843.816,76.0,77.0,3024.5159999999996,29071.44,2776.3990000000003,3911.008,29744440.0,251992.6,11637.28,47036.56,28086060.0,297.5977,43718.13,30245.18,184.9064,1778557.0,4026.2140000000004,2714.798,2785.579,1456385.0,61.46536999999999,76.28139,1027.5839999999998,2848.355,114.0589,48.29156,1224.277,320.1737,192.1331,176.9178,500.2029,1551.878,1532.638,339.852,121.7164,297.3186,33.436440000000005,3102.8709999999996,62.22773000000001,169.4594,31.4146,96.04286,810.5394,952.4316,158.4905,295.019,34.60765,180.4858,155.412,105.5118,143.7676,176.1195,204.8947,4969.192,280.0086,35.788759999999996,40.14362,28.473309999999998,48.84919,58417.05,598.078,22.01422,40.02534,22.01418,16.47157,51.0295,18.01162,7.003863000000001,3759.6079999999997,44194.34,157.1983,4.001932,326.5245,95.49965999999999,48.03105,10.00644,5.002576,38.02463,13.00837,20.63048,9.005152,5.00322,3.000644,2.000644,6.003863,3.001288,1.0,1.0,0.0,1.0,0.0,175.6192,2.7933209999999997,                      Jar_BLK_40
77,44843.816,77.0,78.0,3697.762,30846.7,2983.131,3675.013,29550810.0,252773.5,11690.57,47941.62,28500380.0,576.3607,43497.43,31216.13,287.5247,1813146.0,4197.905,2699.131,2872.261,1491000.0,61.28278,110.1842,1061.152,2635.321,115.3401,55.19543,1049.2939999999999,276.4544,281.8834,182.815,632.3708,1636.1170000000002,1515.717,295.5364,117.6828,333.4019,50.77642,2944.8059999999996,43.92538,150.0598,56.546240000000004,72.71913,822.2891,1130.7910000000002,144.7999,336.7433,27.191640000000003,143.1864,138.124,120.8378,138.8459,173.5805,255.9355,5160.865,231.3629,43.323370000000004,41.88898,34.467690000000005,45.35923,58343.16,519.7878,19.01225,40.82334,27.01744,19.011589999999998,68.34074,23.01128,6.00322,3709.542,44547.2,143.1375,2.000644,366.0314,78.05094,61.5166,21.01357,4.001932,34.02131,10.00644,18.01161,9.005794999999999,5.00322,2.1413599999999997,6.00322,5.002576,5.00322,3.001932,2.0,2.000644,1.0,0.0,175.6432,2.79294,                      Jar_BLK_40
78,44843.816,78.0,79.0,3103.277,31516.18,2669.072,3093.0170000000003,30120180.0,262517.1,10531.44,46638.67,27872820.0,277.7592,42530.02,30121.36,369.8145,1788499.0,4079.2470000000003,2851.867,2728.9709999999995,1475924.0,69.59879000000001,96.01418000000001,1000.7919999999999,2632.7870000000003,108.106,27.59327,1102.566,292.5792,248.8418,287.2046,548.107,1591.211,1434.664,280.7023,134.5854,352.5882,39.05875,2930.337,66.16707,130.3532,50.26345,54.539390000000004,804.674,1014.2330000000001,157.1768,318.5078,24.71976,132.1243,170.3001,115.1437,157.4871,127.2688,249.682,5342.904,260.7857,28.54856,74.99675,31.10765,35.44611,58058.57,553.0652,23.014879999999998,45.02851,19.012320000000003,20.4898,55.0351,27.88948,8.005152,3847.0879999999997,44239.01,143.7699,3.001288,315.1179,73.04748000000001,53.206309999999995,10.00579,6.002592,35.02262,15.27481,21.01359,7.004523,4.001932,8.176492999999999,2.0,5.0032190000000005,3.000644,4.001288,2.0,1.0,0.0,1.0,175.6192,2.7933209999999997,                      Jar_BLK_40
