,AbsTime,RelTime,Cycle,m15.007 (B_m15.007) (Corr),m15.970 (B_m15.970) (Corr),m16.978 (B_m16.978) (Corr),m17.009 (B_m17.009) (Corr),m18.017 (B_m18.017) (Corr),m18.887 (B_m18.887) (Corr),m18.939 (B_m18.939) (Corr),m19.007 (B_m19.007) (Corr),m19.440 (B_m19.440) (Corr),m19.735 (B_m19.735) (Corr),m20.007 (B_m20.007) (Corr),m21.006 (B_m21.006) (Corr),m26.996 (B_m26.996) (Corr),m27.985 (B_m27.985) (Corr),m28.988 (B_m28.988) (Corr),m29.972 (B_m29.972) (Corr),m30.984 (B_m30.984) (Corr),m31.964 (B_m31.964) (Corr),m32.970 (B_m32.970) (Corr),m33.003 (B_m33.003) (Corr),m33.965 (B_m33.965) (Corr),m36.636 (B_m36.636) (Corr),m36.913 (B_m36.913) (Corr),m37.001 (B_m37.001) (Corr),m37.661 (B_m37.661) (Corr),m37.748 (B_m37.748) (Corr),m38.000 (B_m38.000) (Corr),m38.998 (B_m38.998) (Corr),m41.003 (B_m41.003) (Corr),m41.998 (B_m41.998) (Corr),m43.010 (B_m43.010) (Corr),m43.974 (B_m43.974) (Corr),m44.978 (B_m44.978) (Corr),m45.958 (B_m45.958) (Corr),m46.988 (B_m46.988) (Corr),m49.971 (B_m49.971) (Corr),m50.992 (B_m50.992) (Corr),m53.004 (B_m53.004) (Corr),m55.007 (B_m55.007) (Corr),m57.031 (B_m57.031) (Corr),m59.022 (B_m59.022) (Corr),m60.022 (B_m60.022) (Corr),m60.999 (B_m60.999) (Corr),m61.997 (B_m61.997) (Corr),m62.984 (B_m62.984) (Corr),m69.034 (B_m69.034) (Corr),m71.042 (B_m71.042) (Corr),m73.022 (B_m73.022) (Corr),m74.020 (B_m74.020) (Corr),m75.009 (B_m75.009) (Corr),m76.008 (B_m76.008) (Corr),m77.003 (B_m77.003) (Corr),m78.012 (B_m78.012) (Corr),m79.012 (B_m79.012) (Corr),m81.009 (B_m81.009) (Corr),m83.048 (B_m83.048) (Corr),m85.052 (B_m85.052) (Corr),m87.020 (B_m87.020) (Corr),m88.040 (B_m88.040) (Corr),m89.024 (B_m89.024) (Corr),m90.913 (B_m90.913) (Corr),m91.012 (B_m91.012) (Corr),m92.999 (B_m92.999) (Corr),m94.004 (B_m94.004) (Corr),m95.015 (B_m95.015) (Corr),m96.018 (B_m96.018) (Corr),m97.048 (B_m97.048) (Corr),m103.036 (B_m103.036) (Corr),m105.016 (B_m105.016) (Corr),m109.055 (B_m109.055) (Corr),m111.074 (B_m111.074) (Corr),m117.052 (B_m117.052) (Corr),m143.096 (B_m143.096) (Corr),m145.080 (B_m145.080) (Corr),m149.010 (B_m149.010) (Corr),m203.904 (B_m203.904) (Corr),m204.919 (B_m204.919) (Corr),m205.907 (B_m205.907) (Corr),m206.995 (B_m206.995) (Corr),m217.894 (B_m217.894) (Corr),m223.026 (B_m223.026) (Corr),m224.030 (B_m224.030) (Corr),m225.006 (B_m225.006) (Corr),m226.981 (B_m226.981) (Corr),m228.961 (B_m228.961) (Corr),m266.950 (B_m266.950) (Corr),m281.024 (B_m281.024) (Corr),m282.023 (B_m282.023) (Corr),m282.999 (B_m282.999) (Corr),m286.948 (B_m286.948) (Corr),m299.016 (B_m299.016) (Corr),m329.784 (B_m329.784) (Corr),m330.790 (B_m330.790) (Corr),m331.836 (B_m331.836) (Corr),m340.985 (B_m340.985) (Corr),m341.976 (B_m341.976) (Corr),m342.979 (B_m342.979) (Corr),m355.034 (B_m355.034) (Corr),m356.089 (B_m356.089) (Corr),m357.041 (B_m357.041) (Corr),m358.038 (B_m358.038) (Corr),m358.992 (B_m358.992) (Corr),m359.986 (B_m359.986) (Corr),m371.055 (B_m371.055) (Corr),m372.078 (B_m372.078) (Corr),m373.044 (B_m373.044) (Corr),m374.041 (B_m374.041) (Corr),m375.033 (B_m375.033) (Corr),m376.015 (B_m376.015) (Corr),m429.048 (B_m429.048) (Corr),m430.055 (B_m430.055) (Corr),m431.052 (B_m431.052) (Corr),m432.050 (B_m432.050) (Corr),m433.036 (B_m433.036) (Corr),m445.069 (B_m445.069) (Corr),m446.076 (B_m446.076) (Corr),m447.060 (B_m447.060) (Corr),m448.057 (B_m448.057) (Corr),m449.050 (B_m449.050) (Corr),E/N_Act [Td],p-Drift_Act [mbar],group_id
38,44843.8768,38.0,39.0,1229.6689999999999,1543.32,753.7408,4397.463,72697.08,2424.4179999999997,4590.714,28933710.0,915598.4,14534.01,62822.7,33019160.0,483.0646,405.8707,52559.52,32287.93,447.1148,1029385.0,4779.073,2952.337,1997.568,71.84373000000001,132.6357,2075796.0,225.1602,165.8116,1764.8470000000002,3887.982,483.0157,93.14835,12919.62,439.439,842.1066,244.606,1464.809,134.5526,465.9262,505.9097,462.1753,583.2926,1308.0,109.6628,33114.96,576.0845,126.3147,146.6638,226.2469,280.0995,143.3917,6314.007,230.2876,1357.7779999999998,143.3978,105.4496,153.6381,82.55943,37.73446,112.6696,2512.401,1403.305,103.1564,136.1624,748.847,244.0289,7327.215,301.0865,73.47222,260.7741,8.528516,79.87491999999999,14.351389999999999,401.5898,9.653248,83.57771,152.4415,103016.4,920.4039,48.031290000000006,16.00967,60.3909,29.83175,7.004507,22.0142,7.16023,8.005167,6.003863,20.4663,7.003863000000001,6.00322,12.0071,11.0071,2439.84,71672.34,180.045,3.000644,3.001288,2.1798040000000003,468.0232,116.4465,86.05593,12.00774,9.005167,1.0,137.2709,35.562129999999996,50.89249,14.00903,11.00712,4.001932,6.00322,4.002575,5.002576,3.001288,2.000644,2.000644,2.0,1.0,5.002575,2.907538,175.86,2.791032,                      Jar_BLK_44
39,44843.8768,39.0,40.0,930.7673,1834.231,602.9295,2718.574,37479.51,3167.116,2472.774,30234800.0,264013.2,11429.54,53682.15,29321850.0,356.8614,511.6888,42461.03,29339.58,355.6054,1589704.0,4414.945,2315.709,2803.525,80.82478,159.1627,1798242.0,152.8153,92.95702,1429.3,3326.4359999999997,212.5851,110.4118,5043.186,306.4246,381.8982,261.4734,823.5247,304.728,1253.231,1339.1570000000002,516.1289,237.7757,542.571,105.4668,12157.14,215.8807,95.54522,125.7084,77.8125,122.154,71.40025,2599.476,139.1543,1115.3239999999998,172.8817,75.70699,311.1151,39.32867,28.300929999999997,77.77693000000001,454.7451,492.8525,98.36268000000001,153.3811,396.502,224.834,5251.54,246.6921,52.749280000000006,101.7605,39.23022,24.45134,17.54081,107.9096,7.239936,26.20867,69.78988000000001,54577.02,529.0318,21.01291,13.0084,24.01489,21.01354,2.000644,10.00579,12.0071,13.008389999999999,4.002575,17.01098,8.004508,9.005811,8.003221,6.00322,3367.658,40763.8,162.9988,8.004507,1.0,3.001304,485.8789,109.4309,62.040319999999994,16.00967,5.00322,3.001288,46.48325,17.01096,38.02456,15.00966,13.00774,5.0019480000000005,4.001288,4.002575,2.0,0.0,4.001932,3.000644,2.000644,6.003863,5.003236,1.0,175.86,2.791032,                      Jar_BLK_44
40,44843.8768,40.0,41.0,333.5479,1950.1689999999999,1167.421,2784.8579999999997,36861.48,2876.37,2346.423,30297740.0,267830.8,10158.41,50683.89,28638830.0,357.3255,355.516,42588.14,30371.65,382.0718,1603162.0,5137.8679999999995,2896.553,2474.199,92.41826999999999,155.9333,1818649.0,144.3255,116.7083,1444.433,3664.06,277.4714,124.2126,4859.47,303.9583,368.6424,279.1883,841.9384,367.6794,1288.094,1320.691,422.1237,191.4004,507.246,62.498540000000006,12117.08,229.5687,81.25861,162.7244,62.828,124.2433,72.13618000000001,2442.1,134.7203,1110.007,159.5234,92.69084000000001,298.6978,49.45049,18.86724,56.33456999999999,437.9272,443.2015,84.67206,136.1629,358.4504,236.6805,5193.875,204.9911,47.06819,121.8893,22.17417,37.49223,11.163,100.4866,3.619968,29.78265,57.776430000000005,54520.38,560.281,20.012929999999997,8.004507,45.02922,13.00774,4.001288,16.0103,11.66333,11.0071,3.001948,33.02008,7.003863000000001,11.0071,7.00322,11.00708,3525.2690000000002,41082.32,146.7043,5.002575,1.0,2.000644,473.959,108.5437,89.0578,13.00837,7.003863000000001,3.001932,53.03099,24.0155,38.634370000000004,17.01099,8.005151,2.000644,8.004507,3.001288,1.0,6.00322,1.0,3.001288,2.000644,1.0,3.000644,3.001932,175.8119,2.791795,                      Jar_BLK_44
41,44843.8768,41.0,42.0,860.9085,1293.155,1627.335,3480.156,37804.75,3194.478,4046.812,29585550.0,272872.9,10785.37,50559.59,27452640.0,222.631,531.9816,42730.39,29903.95,421.6544,1595659.0,4266.444,2360.797,2711.8179999999998,89.8048,208.9881,1807705.0,168.1197,116.7082,1321.3770000000002,3806.147,230.7047,82.80843,4836.558,292.6585,331.8465,250.5046,834.9786,351.0123,1273.753,1127.743,319.4617,248.1644,530.077,58.59251,11864.25,240.4389,108.0086,155.2767,109.9687,124.2433,110.0782,2329.758,90.55996999999999,1067.941,176.0608,89.22636999999999,277.3689,42.032959999999996,14.1504,69.85486,372.1982,467.3215,103.8042,151.5106,361.3735,228.795,5087.484,264.3322,56.51709,120.1435,23.879839999999998,24.45134,14.35242,100.0357,12.06656,20.549960000000002,48.85262,54843.06,566.4752,25.01618,6.00322,38.0246,19.01228,5.37846,10.990839999999999,7.004523,11.0071,4.002575,21.46668,5.00322,12.007760000000001,7.004507,6.00322,3473.498,41267.12,151.1826,3.000644,5.002576,3.001932,521.3784,110.0754,61.0398,21.01357,6.00322,2.000644,65.0422,19.01161,37.023920000000004,17.01096,7.003863000000001,2.000644,9.005151,3.001288,5.002576,0.0,0.0,1.0,0.0,3.000644,2.000644,1.0,175.8119,2.791795,                      Jar_BLK_44
42,44843.8768,42.0,43.0,906.8404,1667.749,1167.13,2784.867,37162.34,3184.028,3214.656,29442930.0,264468.0,10710.71,50766.43,30020540.0,436.7322,405.8716,44389.26,29465.18,342.4433,1598058.0,4409.073,2490.737,2541.724,26.9414,141.4783,1794361.0,110.3663,129.8298,1458.431,3519.325,182.2516,65.56988,4667.15,261.4158,411.6011,276.0905,738.0961,274.6538,1254.285,1207.0510000000002,378.9835,313.291,508.3128,70.31092,11630.6,228.0131,98.84869,138.9808,53.34568,113.3413,56.5265,2390.484,77.39219,1184.2069999999999,160.2681,83.8187,332.7679,42.032920000000004,18.86724,74.6784,415.152,428.8509,105.3699,142.38,391.36,201.1543,4990.123,251.985,43.32965,91.91459,34.11201,27.71152,11.16297,115.4035,1.2058799999999998,19.35864,54.66931999999999,54916.19,551.6392,14.00903,17.00972,30.019479999999998,23.29629,4.002575,14.00774,14.66572,9.005151,3.001932,24.01484,12.00708,12.00774,8.927026,6.926332,3317.7740000000003,41585.74,162.7254,9.005794999999999,2.000644,2.000644,530.4363,117.0839,70.04539,18.01162,7.0038800000000005,1.0,47.0298,23.014879999999998,44.02856,12.0071,11.0071,4.001932,9.005811,3.001932,5.001932,1.0,1.0,6.003863,3.001288,2.0,2.0,2.000644,175.8359,2.791414,                      Jar_BLK_44
43,44843.8768,43.0,44.0,1250.809,1626.412,1000.6469999999999,2835.2070000000003,38632.9,4094.453,2337.063,30347920.0,267185.2,10439.62,52340.8,29349220.0,275.5554,431.5128,43555.8,29883.7,421.7012,1594043.0,4363.058,2495.7110000000002,2541.701,83.43794,200.1454,1814306.0,101.8766,91.35603,1311.217,3886.638,167.8066,75.90751999999999,5019.842000000001,280.9811,461.3844,243.5004,847.6048,327.2968,1136.48,1256.9560000000001,431.1649,244.0257,495.186,39.313309999999994,11277.84,224.2478,95.54541,189.9645,116.2528,173.0071,101.8911,2212.187,149.0524,1070.8110000000001,140.6488,87.28294,290.7925,33.57221,9.432086,83.37534000000001,395.2856,464.8153,88.75220999999999,145.2781,326.4111,214.0774,4942.27,244.4933,46.1704,132.3625,17.05709,21.19116,16.457929999999998,104.9119,4.825848000000001,29.778309999999998,67.01015,54685.63,546.0731,20.01294,21.0136,34.07683,18.01161,7.003863000000001,13.008389999999999,15.009689999999999,16.009729999999998,4.001932,20.01227,9.677458999999999,10.00583,9.005167,7.003863000000001,3470.197,41225.06,148.181,4.001932,7.003863000000001,1.0,594.9265,112.0733,60.210930000000005,16.01033,10.00579,3.001288,52.03318,11.00711,32.27093,10.0058,7.003863000000001,3.001288,5.002576,4.001932,6.0032190000000005,5.002575,1.0,2.0,1.0,1.0,7.003863000000001,3.001288,175.884,2.790651,                      Jar_BLK_44
44,44843.8768,44.0,45.0,753.5828,1376.521,1000.648,2822.825,42151.47,2683.402,3388.739,29231350.0,279083.8,10850.34,49584.71,30010590.0,191.9226,395.9687,42098.53,29318.39,294.6094,1593661.0,4204.867,2052.776,2573.734,91.10271,196.9162,1817252.0,108.6916,50.70375,1200.3039999999999,3544.066,155.4019,106.9744,4474.441,368.0177,400.2063,255.6172,689.4584,372.3853,1283.732,1160.491,440.0176,216.5509,454.6015,70.56274,10631.51,231.1246,105.0484,133.6283,87.90778,155.7664,84.71464,2303.488,110.6244,978.2012,137.8911,78.41075,264.3844,42.03308,16.50884,72.10521999999999,451.0375,419.9243,122.4989,162.3083,371.302,228.5738,4874.209,252.4329,52.71978000000001,120.1438,10.23425,32.01596,9.568261,128.909,4.825848000000001,22.63472,65.91879,55040.48,501.6145,23.01489,10.75695,38.02467,17.01106,4.001932,17.01035,11.0071,10.00645,7.004523,26.61092,7.004507,16.01032,6.00322,11.00647,3471.862,41073.53,135.6534,3.001932,0.0,3.001288,527.1462,91.16895,62.040319999999994,17.01096,6.003863,7.004507,55.03569,19.011670000000002,29.62854,7.004523,8.004524,5.002575,8.003863,9.005168,5.002576,3.001288,1.0,3.000644,2.0,3.001288,0.0,2.0,175.86,2.791032,                      Jar_BLK_44
45,44843.8768,45.0,46.0,667.0972,1000.6510000000001,917.2595,3023.952,37527.52,2726.217,3221.656,29567600.0,267923.0,11578.71,48964.85,30002000.0,357.1842,428.6871,42951.41,29562.94,354.6464,1587016.0,4533.318,2466.428,2453.875,143.688,185.69,1812535.0,127.3458,50.70375,1396.493,3339.0759999999996,209.0453,89.70898000000001,4863.696,337.1372,375.5794,240.7215,821.0538,330.4507,1149.779,1218.01,464.6161,174.6937,576.2422,78.1095,10459.16,189.7016,84.20442,128.0379,62.703959999999995,133.3344,72.81397,2069.189,160.5182,1056.268,140.8646,111.6178,300.1389,49.21877,30.659209999999998,90.13563,418.9344,435.782,95.05305,140.931,327.1811,245.4224,4743.01,228.292,50.83585,97.74537,37.525529999999996,27.813390000000002,15.9471,110.9774,7.145666,32.165259999999996,56.99572,54906.89,572.9935,23.014879999999998,12.00773,23.014879999999998,22.014229999999998,9.005794999999999,13.00774,3.001288,7.004507,5.002576,27.016820000000003,10.00645,11.00644,6.0038800000000005,9.005152,3336.0840000000003,41230.09,171.6132,9.001603999999999,2.000644,3.001288,562.3754,97.06,67.21555,26.01677,6.324399,3.000644,68.04355,16.01032,37.02326,16.0103,2.000644,1.0,11.00708,3.000644,7.003863000000001,6.00322,5.001932,6.003863,1.0,3.000644,2.0,3.000644,175.8359,2.791414,                      Jar_BLK_44
46,44843.8768,46.0,47.0,1073.32,1417.5929999999998,655.0452,3412.738,41720.36,2842.9790000000003,3003.5840000000003,30169900.0,275303.0,11289.0,51725.69,28989230.0,436.7325,335.2849,41889.38,30351.27,356.6597,1609496.0,4708.785,2702.761,3196.435,76.98309,193.6181,1822938.0,144.3252,138.2805,1524.171,3400.679,209.0754,117.3394,4606.0740000000005,373.3133,409.9086,212.3365,815.3723,248.118,1214.78,1167.501,480.0195,271.3185,511.6794,39.06155,10879.62,210.5874,109.819,159.3507,96.73198000000001,116.0931,87.68975,2249.353,96.15838000000001,1081.521,164.608,62.1881,284.0985,42.032959999999996,31.17519,65.33995999999999,450.6095,457.3155,134.2932,141.1404,386.2488,242.9851,4677.812,205.3252,64.0527,106.4768,20.46846,18.03295,7.973551,97.41298,8.446611,38.121759999999995,65.13799,54720.68,539.6606,22.014210000000002,14.00901,33.0214,21.013560000000002,4.001932,20.01228,7.003863000000001,7.003863000000001,8.004507,26.01677,12.00773,10.00579,15.00966,6.00322,3438.357,41191.63,164.2031,4.001932,2.0,3.000644,504.2669,112.5607,58.46764,30.01943,9.005794999999999,6.00322,69.04366,18.01164,41.02597,12.00645,2.000644,1.000644,10.0058,5.0032190000000005,4.001932,3.001288,1.0,2.000644,6.003863,4.001288,1.0,2.0,175.86,2.791032,                      Jar_BLK_44
47,44843.8769,47.0,48.0,750.4856,1850.652,877.1934,3324.461,42833.32,3842.027,3171.868,29300810.0,275832.3,10878.71,52557.84,28680500.0,238.2171,317.637,42889.87,28140.57,435.8236,1598690.0,4340.032999999999,2544.038,2796.462,107.7659,159.1624,1797178.0,144.3256,74.45477,1388.46,3736.8390000000004,216.2858,100.0737,4650.967000000001,425.6731,389.643,253.6035,804.0983,292.4615,1267.98,1250.883,477.3265,262.9096,519.714,66.40495,10765.59,215.576,93.70796,154.1118,94.25882,112.4,65.45177,2096.91,83.12496,1122.941,129.6179,98.09821,293.3643,42.03304,28.30085,65.66492,438.715,460.2444,105.2399,120.4089,395.46,186.844,4899.682,268.8752,41.41632,108.7427,22.174139999999998,22.923189999999998,11.16197,109.4084,7.239160000000001,30.97392,54.669230000000006,55155.76,520.1566,23.01483,9.005794999999999,26.01686,18.63704,10.00645,11.48364,9.005811,10.00644,5.0032190000000005,23.0142,14.008389999999999,16.01032,8.005167,14.008370000000001,3406.256,42058.39,159.185,2.0,1.0,3.001288,521.3302,117.0874,84.05484,20.01288,3.001288,6.00322,48.031290000000006,12.00774,30.01945,11.0071,5.7688440000000005,2.000644,19.01224,6.00322,6.00322,2.000644,3.000644,3.000644,3.001288,3.001288,2.000644,0.0,175.8359,2.791414,                      Jar_BLK_44
